MAL_ID,Score,Score-1,Score-2,Score-3,Score-4,Score-5,Score-6,Score-7,Score-8,Score-9,Score-10,Ranked,Popularity
5629,5.99,5.0,6.0,8.0,14.0,55.0,66.0,52.0,25.0,5.0,10.0,8281.0,10714
5630,7.83,427.0,462.0,1050.0,2994.0,8306.0,19654.0,49404.0,68067.0,47062.0,24094.0,780.0,274
5631,5.52,33.0,27.0,37.0,63.0,152.0,144.0,101.0,43.0,16.0,15.0,9640.0,10081
5632,5.41,20.0,39.0,55.0,75.0,176.0,145.0,113.0,32.0,13.0,13.0,9911.0,10031
5636,6.29,5.0,4.0,7.0,4.0,25.0,25.0,26.0,17.0,11.0,15.0,6921.0,11506
5640,5.73,12.0,11.0,9.0,30.0,60.0,52.0,36.0,10.0,7.0,15.0,9068.0,10520
5643,6.39,43.0,36.0,54.0,87.0,184.0,278.0,336.0,240.0,110.0,101.0,Unknown,7002
5644,6.68,15.0,13.0,26.0,35.0,139.0,165.0,233.0,152.0,74.0,113.0,Unknown,7832
5645,5.56,16.0,14.0,31.0,64.0,108.0,99.0,63.0,40.0,13.0,26.0,Unknown,9021
5646,5.32,23.0,23.0,32.0,64.0,94.0,70.0,54.0,26.0,8.0,24.0,Unknown,9709
5647,5.31,12.0,14.0,18.0,31.0,67.0,42.0,20.0,7.0,3.0,17.0,10108.0,10181
5648,5.53,15.0,14.0,17.0,37.0,48.0,55.0,38.0,12.0,7.0,8.0,9605.0,10478
5649,5.48,22.0,16.0,37.0,50.0,70.0,86.0,49.0,13.0,20.0,14.0,Unknown,9965
5651,6.73,55.0,55.0,69.0,147.0,285.0,432.0,586.0,423.0,252.0,304.0,Unknown,5708
5652,6.18,12.0,10.0,13.0,34.0,77.0,97.0,139.0,49.0,21.0,15.0,7452.0,9718
5653,6.24,30.0,20.0,49.0,60.0,152.0,219.0,243.0,109.0,77.0,71.0,Unknown,7711
5656,5.01,82.0,91.0,115.0,229.0,448.0,317.0,146.0,48.0,13.0,33.0,10607.0,7911
5658,7.06,13.0,7.0,11.0,43.0,146.0,272.0,502.0,318.0,173.0,131.0,3387.0,6928
5661,4.75,42.0,63.0,69.0,106.0,160.0,87.0,34.0,14.0,10.0,13.0,10808.0,10277
5662,5.76,22.0,21.0,29.0,58.0,146.0,164.0,112.0,48.0,13.0,25.0,9001.0,10071
5663,5.14,38.0,29.0,17.0,23.0,32.0,16.0,10.0,8.0,3.0,16.0,Unknown,10703
5664,5.64,17.0,11.0,18.0,32.0,59.0,59.0,44.0,19.0,9.0,13.0,Unknown,10566
5665,5.6,12.0,7.0,14.0,22.0,50.0,29.0,31.0,11.0,4.0,12.0,Unknown,10998
5667,7.31,356.0,502.0,933.0,1911.0,5293.0,11887.0,24008.0,19503.0,9358.0,8654.0,2316.0,1050
5670,7.15,25.0,31.0,81.0,187.0,527.0,989.0,1987.0,1435.0,608.0,294.0,2994.0,3903
5671,7.48,107.0,142.0,287.0,805.0,2009.0,4417.0,9157.0,9139.0,5001.0,2631.0,1649.0,1671
5673,6.03,7.0,9.0,23.0,40.0,93.0,146.0,105.0,52.0,16.0,22.0,8079.0,9353
5674,5.62,32.0,32.0,31.0,68.0,133.0,134.0,117.0,47.0,17.0,37.0,Unknown,8421
5675,7.24,126.0,129.0,296.0,688.0,1369.0,2617.0,4457.0,3906.0,2132.0,1425.0,2590.0,2513
5678,7.98,116.0,143.0,295.0,835.0,2440.0,4722.0,10903.0,14843.0,10911.0,8633.0,563.0,1064
5680,7.84,2014.0,1535.0,2633.0,6175.0,17625.0,37915.0,96729.0,125585.0,82324.0,58703.0,758.0,108
5681,8.09,384.0,410.0,940.0,2492.0,6232.0,15645.0,44558.0,75762.0,63410.0,37270.0,420.0,311
5682,8.01,381.0,343.0,721.0,1786.0,3880.0,8075.0,20502.0,31335.0,25342.0,16712.0,525.0,533
5684,7.31,26.0,39.0,54.0,109.0,391.0,691.0,1361.0,1113.0,624.0,439.0,2301.0,4492
5686,6.3,28.0,23.0,52.0,105.0,207.0,329.0,328.0,146.0,80.0,111.0,Unknown,7010
5687,4.95,16.0,25.0,29.0,30.0,41.0,24.0,20.0,5.0,2.0,11.0,Unknown,11002
5688,6.77,10.0,8.0,11.0,19.0,75.0,143.0,220.0,102.0,69.0,69.0,4593.0,7611
5689,5.8,6.0,10.0,16.0,31.0,50.0,66.0,41.0,20.0,6.0,7.0,8827.0,10527
5690,8.27,73.0,33.0,91.0,236.0,777.0,2756.0,9892.0,20580.0,17271.0,9330.0,243.0,1290
5691,7.07,18.0,13.0,20.0,76.0,177.0,369.0,683.0,447.0,231.0,191.0,3327.0,6044
5693,Unknown,2.0,2.0,Unknown,8.0,19.0,15.0,13.0,6.0,6.0,5.0,11993.0,13693
5702,7.13,73.0,89.0,219.0,470.0,1160.0,2129.0,3741.0,2914.0,1627.0,1058.0,3069.0,2744
5710,7.32,8.0,2.0,12.0,26.0,110.0,178.0,460.0,409.0,195.0,149.0,2248.0,7408
5712,7.5,16.0,8.0,24.0,60.0,168.0,293.0,519.0,520.0,282.0,405.0,1581.0,6540
5713,7.51,24.0,16.0,38.0,137.0,522.0,1676.0,4740.0,4319.0,1869.0,1042.0,1564.0,3146
5715,4.74,68.0,84.0,89.0,104.0,180.0,105.0,84.0,23.0,16.0,20.0,10807.0,9089
5717,7.15,50.0,87.0,185.0,507.0,1487.0,2995.0,4718.0,3417.0,2081.0,1471.0,3001.0,2933
5719,6.65,294.0,250.0,453.0,827.0,1656.0,2487.0,3237.0,2349.0,1360.0,1154.0,Unknown,3204
5723,6.12,7.0,13.0,20.0,32.0,142.0,211.0,141.0,65.0,19.0,31.0,7710.0,8176
5725,6.3,34.0,87.0,132.0,221.0,484.0,787.0,746.0,401.0,173.0,234.0,6886.0,6080
5733,5.33,46.0,27.0,38.0,52.0,58.0,68.0,51.0,20.0,18.0,18.0,Unknown,9122
5734,6.78,159.0,259.0,547.0,1280.0,3063.0,5661.0,8195.0,4770.0,2118.0,1438.0,4520.0,1981
5742,6.48,5.0,7.0,13.0,36.0,98.0,188.0,191.0,101.0,37.0,35.0,5978.0,9327
5743,6.56,32.0,32.0,50.0,71.0,177.0,314.0,402.0,245.0,117.0,150.0,Unknown,6339
5751,7.67,22.0,9.0,20.0,73.0,233.0,646.0,1648.0,1678.0,918.0,799.0,1099.0,4383
5753,7.25,12.0,7.0,18.0,58.0,153.0,352.0,607.0,486.0,255.0,252.0,2578.0,6540
5755,6.78,3.0,3.0,6.0,23.0,59.0,94.0,155.0,125.0,44.0,23.0,4511.0,9561
5760,7.17,25.0,13.0,38.0,93.0,230.0,463.0,942.0,642.0,333.0,296.0,2888.0,4568
5762,6.82,121.0,127.0,207.0,401.0,1009.0,1508.0,2112.0,1483.0,783.0,923.0,Unknown,3610
5763,6.56,5.0,8.0,8.0,19.0,48.0,110.0,88.0,56.0,26.0,24.0,5597.0,9587
5764,7.28,278.0,366.0,611.0,1338.0,3251.0,6413.0,11872.0,9265.0,5258.0,5592.0,2457.0,1675
